indicador_id,indicador,recorte,fonte,arquivo_tabela,caminho,campos,ano_periodo,unidade,numerador,denominador,cobertura_municipal,municipios_com_dado,tamanho_minimo_grupo,tratamento_ausencia,compatibilidade_indicador_principal,benchmark_estadual,comparacao_pares,risco_identificacao_instabilidade,categoria_uso_recomendado,uso_recomendado,status_p4b
pre_escola,População de 4 a 5 anos que frequenta a escola/creche,raca_cor,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo,/data/educacao/municipios/{id}.json#blocos.matriculas.detalhamentos.por_etapa_cor_raca,"ano, etapa_ensino, cor_raca, matriculas",2014–2025,matrículas,matrículas por etapa e raça/cor declarada,indisponível: população residente da mesma idade e raça/cor,497/497,497,0; mínimo positivo 1; 93416 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,incompatível como taxa principal; há apenas o numerador escolar e categoria não declarada deve permanecer explícita,somente distribuição de matrículas,não recomendado sem denominador compatível e limiar de célula,"agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",contexto,auditoria de completude da declaração e composição das matrículas,not_recommended
escolas_integral,Escolas públicas com alunos em jornada de tempo integral,dependencia_administrativa,INEP — Censo Escolar; contrato diagnóstico P3-C,censo_escolas; escolas_integral_por_dependencia.sql,/data/municipios/{id}/diagnostico.json#indicators[].municipalExposure,"ano, dependencia, escolas_publicas_com_integral, escolas_publicas_total",2025–2025,percentual,escolas públicas com pelo menos 25% das matrículas em tempo integral,escolas públicas com matrícula básica e dado de integral,484/497,484,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível por dependência pública; o agregado pública não deve ser somado novamente aos componentes,calculável por soma dos componentes,"calculável com mesma regra de 25%, ano e dependência","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",governabilidade,decomposição por rede com limiar mínimo de escolas,eligible_after_cell_threshold
internet,Escolas da educação básica com acesso à internet,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_internet",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet,Escolas da educação básica com acesso à internet,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_internet",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_alunos,Escolas com internet disponível para os alunos,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_internet_alunos",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_alunos,Escolas com internet disponível para os alunos,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_internet_alunos",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_aprendizagem,Escolas com internet usada na aprendizagem,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_internet_aprendizagem",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_aprendizagem,Escolas com internet usada na aprendizagem,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_internet_aprendizagem",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_comunidade,Escolas com internet aberta à comunidade,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_internet_comunidade",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_comunidade,Escolas com internet aberta à comunidade,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_internet_comunidade",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
acesso_internet_computador,Escolas com acesso dos alunos à internet por computador,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_acesso_internet_computador",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
acesso_internet_computador,Escolas com acesso dos alunos à internet por computador,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_acesso_internet_computador",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
acesso_internet_disp_pessoais,Escolas com acesso dos alunos à internet por dispositivos pessoais,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_acesso_internet_disp_pessoais",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
acesso_internet_disp_pessoais,Escolas com acesso dos alunos à internet por dispositivos pessoais,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_acesso_internet_disp_pessoais",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
rede_local,Escolas com rede local de computadores,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_rede_local",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
rede_local,Escolas com rede local de computadores,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_rede_local",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
rede_wireless,Escolas com rede local sem fio,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_rede_wireless",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
rede_wireless,Escolas com rede local sem fio,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_rede_wireless",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
banda_larga,Escolas com internet banda larga,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_banda_larga",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
